frame,obj_id,bottom_y
0,3,413.0
0,5,435.0
1,3,412.0
1,5,431.0
2,3,413.0
2,5,428.0
3,3,412.0
3,5,428.0
4,3,411.0
4,5,426.0
5,3,402.0
5,5,440.0
6,3,403.0
6,5,439.0
7,3,404.0
7,5,437.0
8,3,406.0
8,5,432.0
9,3,406.0
9,5,446.0
10,3,407.0
10,5,447.0
11,3,406.0
11,5,447.0
12,3,409.0
12,5,447.0
13,3,409.0
13,5,438.0
14,3,408.0
14,5,437.0
15,3,407.0
15,5,431.0
16,3,407.0
16,5,431.0
17,3,408.0
17,5,427.0
18,3,407.0
18,5,423.0
19,3,411.0
19,5,419.0
20,3,415.0
20,5,398.0
21,3,421.0
21,5,390.0
22,3,426.0
22,5,388.0
23,3,426.0
23,5,390.0
24,3,426.0
24,5,392.0
25,3,427.0
25,5,386.0
26,3,427.0
26,5,383.0
27,3,427.0
27,5,388.0
28,3,427.0
28,5,383.0
29,3,426.0
29,5,389.0
30,3,427.0
30,5,383.0
31,3,428.0
31,5,377.0
32,3,428.0
32,5,377.0
33,3,428.0
33,5,378.0
34,3,423.0
34,5,380.0
35,3,416.0
35,5,381.0
36,3,415.0
36,5,382.0
37,3,401.0
37,5,377.0
38,3,397.0
38,5,376.0
39,3,394.0
39,5,371.0
40,3,394.0
40,5,376.0
41,3,399.0
41,5,378.0
42,3,396.0
42,5,378.0
43,3,399.0
43,5,377.0
44,3,397.0
44,5,374.0
45,3,397.0
45,5,375.0
46,3,394.0
46,5,361.0
47,3,392.0
47,5,358.0
48,3,390.0
48,5,372.0
49,3,385.0
49,5,368.0
50,3,387.0
50,5,368.0
51,3,387.0
51,5,368.0
52,3,387.0
52,5,369.0
53,3,394.0
53,5,374.0
54,3,395.0
54,5,383.0
55,3,397.0
55,5,386.0
56,3,398.0
56,5,388.0
57,3,398.0
57,5,393.0
58,3,398.0
58,5,394.0
59,3,399.0
59,5,401.0
60,3,400.0
60,5,396.0
61,3,398.0
61,5,400.0
62,3,401.0
62,5,403.0
63,3,401.0
63,5,406.0
64,3,403.0
64,5,409.0
65,3,406.0
65,5,421.0
66,3,408.0
66,5,423.0
67,3,410.0
67,5,446.0
68,3,411.0
68,5,426.0
69,3,411.0
69,5,414.0
70,3,410.0
70,5,439.0
71,3,408.0
71,5,440.0
72,3,406.0
72,5,439.0
73,3,403.0
73,5,440.0
74,3,403.0
74,5,433.0
75,3,403.0
75,5,415.0
76,3,403.0
76,5,440.0
77,3,407.0
77,5,440.0
78,3,406.0
78,5,442.0
79,3,407.0
79,5,446.0
80,3,407.0
80,5,447.0
81,3,407.0
81,5,451.0
82,3,407.0
82,5,449.0
83,3,407.0
83,5,444.0
84,3,404.0
84,5,457.0
85,3,401.0
85,5,458.0
86,3,400.0
86,5,463.0
87,3,399.0
87,5,465.0
88,3,397.0
88,5,466.0
89,3,397.0
89,5,470.0
90,3,400.0
90,5,470.0
